,LA,Imperial,Outliers Imperial,Outliers LA
,2.1601,1.9355,1.9933,2.3181
,2.1689,1.935,2.0389,2.2356
,2.1643,1.9353,2.0217,2.2703
,2.1604,1.935,2.0491,2.3553
,2.1604,1.9351,1.9806,2.2113
,2.161,1.9354,,
,2.1555,1.9357,,
,2.1605,1.9351,,
,2.1511,1.9352,,
,2.1511,1.9356,,
,2.1589,1.9352,,
,2.1594,1.9349,,
,2.1594,1.9352,,
,2.1562,1.9347,,
,2.164,1.9343,,
,2.1556,1.9348,,
,2.1556,1.9355,,
,2.849,1.9352,,
,2.1451,1.9348,,
,2.1741 ,1.9485,,
Avg,2.194552632,1.9358,2.01672,2.27812
Difference,,,0.08092,0.083567368
Percent ,,,4.2%,3.8%
